person_age,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25.0,Associate,16395.0,4,OWN,3600.0,MEDICAL,0.22,3.0,646,No,1
22.0,Bachelor,16890.0,0,OWN,4750.0,EDUCATION,0.28,3.0,645,No,1
25.0,Associate,51747.0,3,RENT,25000.0,EDUCATION,0.48,3.0,697,No,1
21.0,HighSchool,59864.0,0,RENT,25000.0,EDUCATION,0.42,2.0,648,No,1
22.0,Associate,60501.0,0,RENT,25000.0,PERSONAL,0.41,3.0,687,No,1
23.0,HighSchool,60754.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.41,3.0,650,No,1
25.0,Bachelor,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,0.41,2.0,588,No,1
24.0,Bachelor,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.46,2.0,652,No,1
23.0,HighSchool,60801.0,0,RENT,25000.0,VENTURE,0.41,4.0,658,No,1
22.0,HighSchool,60747.0,0,RENT,25000.0,VENTURE,0.41,2.0,634,No,1
22.0,HighSchool,61029.0,0,RENT,25000.0,VENTURE,0.41,3.0,623,No,1
22.0,Associate,63236.0,0,RENT,25000.0,EDUCATION,0.4,4.0,635,No,1
23.0,Bachelor,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,0.29,4.0,531,No,1
23.0,HighSchool,63497.0,0,RENT,25000.0,PERSONAL,0.39,2.0,695,No,1
26.0,Doctorate,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.44,4.0,690,No,1
22.0,Bachelor,64842.0,0,RENT,25000.0,EDUCATION,0.39,4.0,574,No,1
26.0,HighSchool,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,0.43,2.0,602,No,1
23.0,Associate,57318.0,0,RENT,25000.0,VENTURE,0.44,2.0,679,No,1
21.0,Master,16664.0,0,OWN,4500.0,VENTURE,0.27,4.0,601,No,1
26.0,Bachelor,58602.0,8,RENT,25000.0,VENTURE,0.43,2.0,595,No,1
22.0,HighSchool,67012.0,2,RENT,25000.0,EDUCATION,0.37,4.0,653,No,1
24.0,Master,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,0.38,4.0,663,No,1
23.0,Bachelor,66599.0,0,RENT,25000.0,EDUCATION,0.38,3.0,653,No,1
23.0,Associate,67212.0,2,RENT,25000.0,EDUCATION,0.37,3.0,598,No,1
24.0,HighSchool,66918.0,1,RENT,25000.0,PERSONAL,0.37,4.0,630,No,1
26.0,Associate,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.37,2.0,637,No,1
23.0,Associate,229083.0,0,MORTGAGE,22000.0,EDUCATION,0.1,3.0,639,No,1
23.0,HighSchool,17859.0,0,OWN,7750.0,PERSONAL,0.43,4.0,626,No,1
24.0,Associate,72608.0,3,RENT,25000.0,PERSONAL,0.34,3.0,612,No,1
24.0,Bachelor,73073.0,1,RENT,25000.0,PERSONAL,0.34,3.0,628,No,1
26.0,Master,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.38,2.0,592,No,1
23.0,HighSchool,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,0.23,3.0,580,No,1
25.0,Bachelor,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,0.38,4.0,672,No,1
23.0,Bachelor,72713.0,0,RENT,25000.0,PERSONAL,0.34,3.0,613,No,1
23.0,HighSchool,72627.0,3,RENT,25000.0,PERSONAL,0.34,4.0,566,No,1
21.0,Associate,72843.0,0,RENT,25000.0,EDUCATION,0.34,4.0,718,No,1
25.0,HighSchool,75504.0,4,RENT,25000.0,MEDICAL,0.33,2.0,484,No,1
22.0,HighSchool,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,0.36,3.0,634,No,1
24.0,Associate,80145.0,1,RENT,25000.0,EDUCATION,0.31,2.0,636,No,1
22.0,Master,80303.0,0,RENT,25000.0,EDUCATION,0.31,3.0,554,No,1
24.0,Master,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.34,2.0,553,No,1
21.0,Master,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,0.17,4.0,635,No,1
26.0,Associate,81238.0,3,RENT,25000.0,PERSONAL,0.31,2.0,531,No,1
23.0,HighSchool,80868.0,1,RENT,25000.0,EDUCATION,0.31,4.0,621,No,1
24.0,Bachelor,81537.0,1,RENT,25000.0,VENTURE,0.31,3.0,674,No,1
24.0,Associate,82741.0,0,RENT,25000.0,PERSONAL,0.3,3.0,688,No,1
25.0,HighSchool,83901.0,3,RENT,25000.0,PERSONAL,0.3,2.0,597,No,1
26.0,Associate,226744.0,0,MORTGAGE,20000.0,VENTURE,0.09,2.0,621,No,1
25.0,Bachelor,85284.0,3,RENT,25000.0,EDUCATION,0.29,3.0,653,No,1
22.0,Bachelor,18152.0,0,OWN,4000.0,MEDICAL,0.22,3.0,585,No,1
24.0,HighSchool,84871.0,3,RENT,25000.0,EDUCATION,0.29,4.0,569,No,1
24.0,Bachelor,18294.0,2,OWN,6000.0,PERSONAL,0.33,3.0,587,No,1
24.0,Bachelor,68029.0,1,RENT,25000.0,MEDICAL,0.37,4.0,631,No,1
25.0,HighSchool,80001.0,4,RENT,25000.0,VENTURE,0.31,2.0,592,No,1
26.0,HighSchool,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,0.31,4.0,679,No,1
25.0,HighSchool,18449.0,1,OWN,5375.0,EDUCATION,0.29,2.0,645,No,1
25.0,Associate,88153.0,0,RENT,25000.0,MEDICAL,0.28,2.0,669,No,1
23.0,Bachelor,90109.0,0,RENT,25000.0,MEDICAL,0.28,3.0,653,No,1
25.0,Bachelor,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.27,2.0,577,No,1
24.0,Bachelor,90938.0,0,RENT,25000.0,EDUCATION,0.27,4.0,648,No,1
22.0,Associate,86284.0,0,RENT,25000.0,EDUCATION,0.29,4.0,648,No,1
23.0,HighSchool,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.26,2.0,548,No,1
23.0,Master,94780.0,0,RENT,25000.0,VENTURE,0.26,3.0,667,No,1
23.0,HighSchool,95298.0,0,RENT,25000.0,VENTURE,0.26,3.0,676,No,1
24.0,HighSchool,75240.0,1,RENT,25000.0,MEDICAL,0.33,2.0,625,No,1
23.0,HighSchool,96143.0,1,RENT,25000.0,VENTURE,0.26,2.0,642,No,1
21.0,Bachelor,18064.0,0,OWN,6250.0,VENTURE,0.35,2.0,580,No,1
24.0,Associate,96627.0,2,RENT,25000.0,PERSONAL,0.26,2.0,622,No,1
24.0,Bachelor,96309.0,3,RENT,25000.0,EDUCATION,0.26,4.0,581,No,1
24.0,Master,96836.0,1,RENT,25000.0,EDUCATION,0.26,2.0,583,No,1
26.0,Bachelor,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,0.26,4.0,645,No,1
24.0,Associate,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,0.1,4.0,582,No,1
23.0,Bachelor,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,0.28,4.0,674,No,1
26.0,HighSchool,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,0.28,4.0,595,No,1
25.0,HighSchool,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,0.25,3.0,597,No,1
23.0,HighSchool,98967.0,5,RENT,25000.0,MEDICAL,0.25,3.0,566,No,1
23.0,Master,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,0.22,2.0,566,No,1
25.0,HighSchool,172215.0,5,MORTGAGE,10000.0,MEDICAL,0.06,4.0,628,No,1
23.0,Master,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,0.32,4.0,667,No,1
24.0,Bachelor,91184.0,1,RENT,25000.0,VENTURE,0.27,3.0,668,No,1
23.0,HighSchool,91886.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.27,4.0,544,No,1
23.0,Associate,80452.0,2,RENT,25000.0,MEDICAL,0.31,2.0,699,No,1
21.0,Associate,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,0.33,2.0,615,No,1
23.0,Master,19000.0,2,OWN,4475.0,MEDICAL,0.24,4.0,647,No,1
23.0,Master,94363.0,0,RENT,25000.0,VENTURE,0.26,3.0,576,No,1
25.0,Master,80570.0,3,RENT,25000.0,MEDICAL,0.31,4.0,612,No,1
24.0,Associate,95753.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.26,4.0,542,No,1
23.0,HighSchool,85787.0,0,RENT,25000.0,MEDICAL,0.29,4.0,646,No,1
25.0,Master,102114.0,7,RENT,25000.0,DEBTCONSOLIDATION,0.24,3.0,637,No,1
23.0,HighSchool,19062.0,2,OWN,4000.0,DEBTCONSOLIDATION,0.21,4.0,667,No,1
23.0,Associate,18926.0,0,OWN,4600.0,VENTURE,0.24,2.0,688,No,1
22.0,Associate,106694.0,0,RENT,25000.0,DEBTCONSOLIDATION,0.23,2.0,667,No,1
25.0,Master,90718.0,4,RENT,25000.0,MEDICAL,0.28,2.0,692,No,1
25.0,Bachelor,106668.0,1,RENT,25000.0,VENTURE,0.23,4.0,562,No,1
26.0,HighSchool,106419.0,5,RENT,25000.0,VENTURE,0.23,3.0,649,No,1
23.0,HighSchool,19065.0,3,MORTGAGE,3600.0,PERSONAL,0.19,4.0,540,No,1
24.0,Associate,111673.0,4,RENT,25000.0,HOMEIMPROVEMENT,0.22,4.0,600,No,1
23.0,HighSchool,112633.0,1,RENT,25000.0,DEBTCONSOLIDATION,0.22,2.0,633,No,1
25.0,Associate,195268.0,1,MORTGAGE,25000.0,DEBTCONSOLIDATION,0.13,3.0,662,No,1
21.0,Master,18773.0,0,OWN,3175.0,HOMEIMPROVEMENT,0.17,3.0,686,No,1
25.0,Bachelor,116439.0,2,RENT,25000.0,HOMEIMPROVEMENT,0.21,4.0,595,No,1
24.0,HighSchool,118417.0,0,RENT,25000.0,HOMEIMPROVEMENT,0.21,2.0,625,No,1
23.0,Associate,19312.0,4,MORTGAGE,2800.0,PERSONAL,0.14,3.0,661,No,1
25.0,HighSchool,192351.0,1,RENT,30000.0,PERSONAL,0.16,4.0,577,No,1
24.0,HighSchool,190735.0,1,RENT,25000.0,HOMEIMPROVEMENT,0.13,2.0,653,No,1
24.0,Associate,100758.0,0,RENT,25000.0,MEDICAL,0.25,2.0,635,No,1
22.0,Master,18923.0,0,OWN,2500.0,HOMEIMPROVEMENT,0.13,3.0,618,No,1
25.0,Master,161894.0,0,RENT,5000.0,MEDICAL,0.03,2.0,609,No,1
22.0,HighSchool,121617.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.21,2.0,629,No,1
24.0,Master,110953.0,0,RENT,25000.0,MEDICAL,0.23,2.0,662,No,1
26.0,HighSchool,130096.0,1,RENT,25000.0,PERSONAL,0.19,3.0,636,No,1
24.0,Associate,19677.0,3,OWN,3300.0,HOMEIMPROVEMENT,0.17,4.0,637,No,1
25.0,HighSchool,19423.0,3,OWN,3200.0,VENTURE,0.16,2.0,586,No,1
22.0,Master,184800.0,1,MORTGAGE,24000.0,DEBTCONSOLIDATION,0.13,2.0,670,No,1
23.0,Associate,20044.0,3,OWN,6000.0,MEDICAL,0.3,2.0,618,No,1
23.0,Master,178660.0,2,RENT,25000.0,DEBTCONSOLIDATION,0.14,3.0,590,No,1
23.0,HighSchool,20421.0,0,MORTGAGE,5600.0,MEDICAL,0.27,4.0,587,No,1
24.0,Master,20353.0,2,OWN,3625.0,VENTURE,0.18,2.0,648,No,1
22.0,Master,20297.0,0,MORTGAGE,5500.0,VENTURE,0.27,3.0,687,No,1
25.0,Associate,20221.0,5,OWN,5000.0,PERSONAL,0.25,4.0,572,No,1
23.0,Bachelor,20678.0,0,OWN,4375.0,VENTURE,0.21,4.0,528,No,1
25.0,HighSchool,60742.0,3,RENT,24750.0,PERSONAL,0.41,3.0,638,No,1
23.0,HighSchool,72805.0,2,RENT,24750.0,DEBTCONSOLIDATION,0.34,3.0,655,No,1
25.0,Master,152227.0,2,MORTGAGE,10000.0,MEDICAL,0.07,4.0,639,No,1
25.0,Bachelor,65399.0,0,RENT,24250.0,PERSONAL,0.37,4.0,663,No,1
23.0,HighSchool,75928.0,4,RENT,24250.0,EDUCATION,0.32,4.0,528,No,1
24.0,Bachelor,21627.0,0,MORTGAGE,3900.0,DEBTCONSOLIDATION,0.18,3.0,636,No,1
25.0,HighSchool,83235.0,3,RENT,24250.0,PERSONAL,0.29,4.0,603,No,1
26.0,HighSchool,68297.0,3,RENT,24250.0,MEDICAL,0.36,2.0,507,No,1
22.0,Master,89977.0,3,RENT,24250.0,DEBTCONSOLIDATION,0.27,2.0,692,No,1
24.0,Associate,79510.0,2,RENT,24250.0,MEDICAL,0.3,2.0,604,No,1
26.0,Bachelor,94635.0,2,RENT,24250.0,HOMEIMPROVEMENT,0.26,3.0,643,No,1
22.0,Associate,21205.0,0,MORTGAGE,4750.0,HOMEIMPROVEMENT,0.22,2.0,658,No,1
21.0,HighSchool,21363.0,2,MORTGAGE,6000.0,VENTURE,0.28,4.0,671,No,1
22.0,Bachelor,130762.0,3,RENT,24150.0,HOMEIMPROVEMENT,0.18,3.0,683,No,1
22.0,Bachelor,52596.0,0,RENT,24000.0,DEBTCONSOLIDATION,0.46,3.0,693,No,1
23.0,Bachelor,57326.0,2,RENT,24000.0,VENTURE,0.42,4.0,603,No,1
24.0,HighSchool,58262.0,1,RENT,24000.0,VENTURE,0.41,2.0,522,No,1
26.0,HighSchool,58620.0,4,RENT,24000.0,MEDICAL,0.41,3.0,664,No,1
21.0,Master,55113.0,0,RENT,24000.0,EDUCATION,0.44,2.0,645,No,1
25.0,Bachelor,63361.0,2,RENT,24000.0,PERSONAL,0.38,2.0,592,No,1
24.0,Bachelor,57356.0,3,RENT,24000.0,PERSONAL,0.42,2.0,672,No,1
22.0,HighSchool,59680.0,0,RENT,24000.0,MEDICAL,0.4,4.0,590,No,1
26.0,Master,72720.0,2,RENT,24000.0,PERSONAL,0.33,4.0,636,No,1
25.0,HighSchool,73024.0,5,RENT,24000.0,PERSONAL,0.33,4.0,580,No,1
22.0,Bachelor,73110.0,0,RENT,24000.0,PERSONAL,0.33,3.0,674,No,1
21.0,Associate,72902.0,0,RENT,24000.0,MEDICAL,0.33,2.0,601,No,1
26.0,HighSchool,75416.0,4,RENT,24000.0,DEBTCONSOLIDATION,0.32,3.0,620,No,1
22.0,Master,75959.0,0,RENT,24000.0,EDUCATION,0.32,2.0,642,No,1
26.0,Associate,79222.0,7,RENT,24000.0,DEBTCONSOLIDATION,0.3,2.0,616,No,1
22.0,Associate,21824.0,0,MORTGAGE,4975.0,EDUCATION,0.23,3.0,588,No,1
23.0,HighSchool,71875.0,1,RENT,24000.0,DEBTCONSOLIDATION,0.33,2.0,585,No,1
23.0,Bachelor,80313.0,1,RENT,24000.0,VENTURE,0.3,4.0,632,No,1
24.0,HighSchool,72647.0,5,RENT,24000.0,VENTURE,0.33,4.0,556,No,1
25.0,Bachelor,80492.0,4,RENT,24000.0,EDUCATION,0.3,3.0,602,No,1
22.0,HighSchool,75646.0,0,RENT,24000.0,PERSONAL,0.32,4.0,639,No,1
24.0,Associate,85223.0,3,RENT,24000.0,EDUCATION,0.28,4.0,603,No,1
23.0,Associate,89735.0,2,RENT,24000.0,DEBTCONSOLIDATION,0.27,2.0,689,No,1
22.0,HighSchool,22364.0,4,OWN,3000.0,PERSONAL,0.13,4.0,672,No,1
22.0,Master,90780.0,2,RENT,24000.0,EDUCATION,0.26,4.0,499,No,1
24.0,Bachelor,90889.0,1,RENT,24000.0,MEDICAL,0.26,3.0,643,No,1
24.0,Bachelor,90911.0,2,RENT,24000.0,HOMEIMPROVEMENT,0.26,3.0,589,No,1
26.0,Master,83953.0,2,RENT,24000.0,DEBTCONSOLIDATION,0.29,3.0,646,No,1
23.0,Associate,94644.0,1,RENT,24000.0,PERSONAL,0.25,3.0,613,No,1
22.0,Associate,22867.0,3,OWN,3500.0,HOMEIMPROVEMENT,0.15,4.0,647,No,1
23.0,Master,22583.0,1,OWN,4000.0,EDUCATION,0.18,2.0,645,No,1
23.0,Bachelor,90900.0,0,RENT,24000.0,PERSONAL,0.26,2.0,672,No,1
22.0,Bachelor,100479.0,0,RENT,24000.0,DEBTCONSOLIDATION,0.24,3.0,590,No,1
21.0,Master,22882.0,0,OWN,4900.0,HOMEIMPROVEMENT,0.21,4.0,674,No,1
21.0,Bachelor,22392.0,0,OWN,5000.0,EDUCATION,0.22,2.0,594,No,1
24.0,Associate,22635.0,3,OWN,6250.0,HOMEIMPROVEMENT,0.28,4.0,602,No,1
22.0,Associate,118299.0,0,RENT,24000.0,DEBTCONSOLIDATION,0.2,2.0,503,No,1
26.0,Associate,125665.0,5,RENT,24000.0,DEBTCONSOLIDATION,0.19,4.0,657,No,1
26.0,Associate,130649.0,4,RENT,24000.0,EDUCATION,0.18,3.0,678,No,1
23.0,Bachelor,22957.0,1,MORTGAGE,2500.0,MEDICAL,0.11,2.0,594,No,1
23.0,Master,138731.0,0,RENT,24000.0,MEDICAL,0.17,3.0,613,No,1
23.0,Master,166378.0,0,RENT,24000.0,DEBTCONSOLIDATION,0.14,2.0,714,No,1
24.0,Associate,22684.0,0,OWN,13000.0,PERSONAL,0.57,3.0,640,No,1
21.0,Bachelor,22366.0,0,OWN,6250.0,VENTURE,0.28,4.0,637,No,1
26.0,Bachelor,178439.0,0,RENT,24000.0,EDUCATION,0.13,2.0,615,No,1
24.0,Associate,53633.0,4,RENT,23975.0,HOMEIMPROVEMENT,0.45,2.0,678,No,1
24.0,HighSchool,67032.0,2,RENT,23600.0,PERSONAL,0.35,3.0,624,No,1
24.0,HighSchool,22664.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,0.44,2.0,649,No,1
23.0,Associate,91275.0,0,RENT,23575.0,PERSONAL,0.26,4.0,613,No,1
22.0,Bachelor,22564.0,1,OWN,4000.0,MEDICAL,0.18,2.0,684,No,1
22.0,Bachelor,22786.0,0,OWN,5400.0,MEDICAL,0.24,2.0,647,No,1
25.0,HighSchool,22450.0,4,MORTGAGE,4000.0,MEDICAL,0.18,3.0,580,No,1
21.0,Bachelor,22666.0,0,OWN,3375.0,VENTURE,0.15,2.0,630,No,1
22.0,Bachelor,81701.0,1,RENT,23400.0,VENTURE,0.29,2.0,589,No,1
22.0,HighSchool,52984.0,0,RENT,23000.0,PERSONAL,0.43,3.0,621,No,1
25.0,Master,68579.0,1,RENT,23000.0,EDUCATION,0.34,2.0,665,No,1
23.0,Bachelor,73014.0,0,RENT,23000.0,VENTURE,0.32,4.0,668,No,1
25.0,HighSchool,76932.0,2,RENT,23000.0,EDUCATION,0.3,3.0,604,No,1
24.0,HighSchool,78955.0,1,RENT,23000.0,HOMEIMPROVEMENT,0.29,4.0,620,No,1
23.0,Master,82567.0,0,RENT,23000.0,EDUCATION,0.28,2.0,558,No,1
22.0,Bachelor,22466.0,0,OWN,3000.0,DEBTCONSOLIDATION,0.13,3.0,603,No,1
24.0,Associate,106607.0,1,RENT,23000.0,VENTURE,0.22,2.0,641,No,1
22.0,Bachelor,71385.0,0,RENT,22750.0,MEDICAL,0.32,4.0,521,No,1
23.0,Bachelor,84865.0,3,RENT,22500.0,DEBTCONSOLIDATION,0.27,2.0,655,No,1
24.0,Bachelor,22789.0,1,OWN,3000.0,HOMEIMPROVEMENT,0.13,3.0,663,No,1
26.0,Bachelor,84801.0,4,RENT,22500.0,EDUCATION,0.27,2.0,605,No,1
24.0,Bachelor,88421.0,4,RENT,22400.0,VENTURE,0.25,4.0,708,No,1
24.0,HighSchool,23071.0,3,MORTGAGE,5000.0,PERSONAL,0.22,3.0,571,No,1
23.0,Bachelor,43042.0,1,RENT,22250.0,DEBTCONSOLIDATION,0.52,3.0,678,No,1
25.0,HighSchool,53119.0,1,RENT,22000.0,HOMEIMPROVEMENT,0.41,2.0,597,No,1
25.0,Bachelor,63311.0,1,RENT,22000.0,PERSONAL,0.35,2.0,689,No,1
21.0,Bachelor,23597.0,0,MORTGAGE,4200.0,PERSONAL,0.18,4.0,675,No,1
22.0,HighSchool,69308.0,1,RENT,22000.0,EDUCATION,0.32,3.0,591,No,1
25.0,HighSchool,70598.0,5,RENT,22000.0,MEDICAL,0.31,2.0,616,No,1
23.0,HighSchool,73044.0,0,RENT,22000.0,DEBTCONSOLIDATION,0.3,4.0,640,No,1
24.0,Bachelor,73043.0,0,RENT,22000.0,VENTURE,0.3,2.0,593,No,1
